X;Y;Z;Classification;R;G;B;NIR;treeID;Tree_type
691289.52;6468257.02;6.566;5;23808;22272;19200;45056;13411.0;Сосна
691289.16;6468256.98;9.672;5;25344;23808;20224;44800;13411.0;Сосна
691289.4;6468257.0;11.264;5;23808;21760;18944;44544;13411.0;Сосна
691289.94;6468257.05;14.866;5;23296;21760;18688;44032;13411.0;Сосна
691288.76;6468256.94;12.372;5;20736;20992;16896;40704;15531.0;Сосна
691287.2;6468256.79;8.0;5;19456;19712;16128;41728;15531.0;Сосна
691287.69;6468256.84;11.221;5;17664;18176;15360;37632;15531.0;Сосна
691286.43;6468256.72;8.284;5;19200;20992;16896;44032;14960.0;Сосна
691287.68;6468256.82;16.501;5;17664;18176;15360;37632;15531.0;Сосна
691285.85;6468256.66;10.114;5;14848;17408;10496;40192;14960.0;Сосна
691284.85;6468256.56;9.228;5;14592;17664;11520;45056;14960.0;Сосна
691288.49;6468258.11;0.0;2;32000;31232;26368;47104;2618.0;Сосна
691289.68;6468258.21;7.948;5;15104;16896;12800;39680;2618.0;Сосна
691288.91;6468258.13;8.635;5;22784;23296;17920;45568;2618.0;Сосна
691287.98;6468258.04;7.847;5;18944;19200;15616;40192;2618.0;Сосна
691287.6;6468258.01;5.313;5;22784;23296;19712;40448;2618.0;Сосна
691289.52;6468258.17;18.107;5;18176;19456;14336;43264;2618.0;Сосна
691288.11;6468258.05;8.725;5;20224;19712;16640;40192;2618.0;Сосна
691285.92;6468257.87;0.0;2;16640;19968;12800;45056;14960.0;Сосна
691286.18;6468257.88;1.717;5;19200;23040;15104;50944;14960.0;Сосна
691287.14;6468257.96;7.942;5;21760;23808;18432;46336;15531.0;Сосна
691286.14;6468257.86;7.089;5;19200;23040;15104;50944;14960.0;Сосна
691287.26;6468257.96;14.42;5;17408;18432;14592;38144;15531.0;Сосна
691285.64;6468257.81;9.183;5;20992;23552;17152;45312;14960.0;Сосна
691286.0;6468257.84;11.515;5;19200;23040;15104;50944;14960.0;Сосна
691286.21;6468257.85;18.585;5;20480;23808;17152;50688;14960.0;Сосна
691289.88;6468259.07;3.292;5;9984;11776;7680;33280;2618.0;Сосна
691289.37;6468259.03;0.0;2;18944;21248;16896;45568;2618.0;Сосна
