X;Y;Z;Classification;R;G;B;NIR;treeID;Tree_type
691369.16;6468309.78;0.0;2;30976;28672;21248;37120;1882.0;Не определено
691369.53;6468309.64;24.288;5;29440;26368;20736;34304;1882.0;Не определено
691368.64;6468309.11;0.0;2;41728;39680;30208;47616;1882.0;Не определено
691369.33;6468309.57;0.0;2;32512;30208;25856;36608;1882.0;Не определено
691375.94;6468306.3;0.0;2;32512;29184;24320;40704;1882.0;Не определено
691375.94;6468306.27;14.882;5;32512;29184;24320;40704;1882.0;Не определено
691374.53;6468306.16;2.084;5;21504;25088;16128;51200;1882.0;Не определено
691373.4;6468306.05;0.0;2;14592;17920;11264;38144;1882.0;Не определено
691373.79;6468306.09;3.541;5;18432;23552;14592;45312;1882.0;Не определено
691375.08;6468306.18;15.036;5;23040;27648;16896;50944;1882.0;Не определено
691374.3;6468306.11;15.323;5;18944;22784;14848;46592;1882.0;Не определено
691373.92;6468306.06;19.251;5;17664;23296;14080;46592;1882.0;Не определено
691376.3;6468307.58;0.0;2;28160;25344;20736;36864;1882.0;Не определено
691375.47;6468307.49;0.0;2;23296;24832;17664;44288;1882.0;Не определено
691375.09;6468307.45;4.016;5;23552;30208;17920;54784;1882.0;Не определено
691375.64;6468307.47;16.336;5;22272;22272;16128;37120;1882.0;Не определено
691375.14;6468307.41;19.769;5;23552;30208;17920;54784;1882.0;Не определено
691374.8;6468307.39;16.79;5;23040;29952;16384;55808;1882.0;Не определено
691373.54;6468307.26;20.137;5;19968;26368;16128;53760;1882.0;Не определено
691372.73;6468307.18;20.509;5;10496;10752;9472;23296;1882.0;Не определено
691371.97;6468307.1;20.572;5;11776;11776;11264;18432;1882.0;Не определено
691376.49;6468308.28;0.0;2;31744;28416;23552;36608;1882.0;Не определено
691375.62;6468308.2;0.0;2;28416;26624;22016;37120;1882.0;Не определено
691375.12;6468308.14;2.609;5;19712;25088;15104;47104;1882.0;Не определено
691374.84;6468308.12;0.0;2;24320;30208;18944;55296;1882.0;Не определено
